product_ndc	proprietary_name
57664-0167	Metoprolol Tartrate	
0378-0424	Metoprolol Tartrate and Hydrochlorothiazide	
0299-3820	Metrogel	
99207-0130	Metrogel-vaginal	
0338-1055	Metronidazole	
66993-0962	Metronidazole Topical Gel	
0093-8740	Mexiletine Hydrochloride	
0904-5068	Mi-acid Gas Relief	
0904-0005	Mi-acid Maximum Strength	
0904-0004	Mi-acid Regular Strength	
0078-0311	Miacalcin	
0597-0040	Micardis	
0597-0044	Micardis Hct	
37205-0583	Miconazole 3 Combination Pack	
0904-7734	Miconazole 7	
0472-1738	Miconazole Nitrate	
0536-3305	Micro-coated Aspirin	
52544-0290	Microgestin	
52544-0631	Microgestin Fe	
65293-0416	Midazolam	
0409-2596	Midazolam Hydrochloride	
0185-0149	Midodrine Hcl	
0245-0211	Midodrine Hydrochloride	
0187-0245	Migranal	
0121-0527	Milk Of Magnesia	
63868-0310	Milk Of Magnesia Cherry	
63868-0788	Milk Of Magnesia Mint	
63868-0787	Milk Of Magnesia Original	
23594-0510	Millipred	
0093-5454	Mimvey Lo	
0430-0535	Minastrin 24 Fe	
37205-0831	Mineral Oil	
68968-6637	Minivelle	
49884-0513	Minocycline	
0093-7300	Minocycline Hydrochloride	
53489-0386	Minoxidil	
0904-5721	Mintox	
0904-5725	Mintox Maximum Strength	
0904-0478	Mintox Plus Tabs	
0597-0191	Mirapex	
51285-0114	Mircette	
0093-7303	Mirtazapine	
0299-5980	Mirvaso	
63704-0008	Misoprostol	
0597-0034	Mobic	
0225-0360	Mobisyl	
51079-0562	Modafinil	
68462-0208	Moexipril Hydrochloride	
0093-5214	Moexipril Hydrochloride and Hydrochlorothiazide	
58118-0031	Mometasone Furoate	
16714-0360	Mono-linyah	
54458-0890	Montelukast	
0904-6310	Montelukast Sodium	
0456-4300	Monurol	
0228-3504	Morphine Sulfate	
62011-0035	Motion Relief - Less Drowsy Formula	
36800-0630	Motion Sickness	
65649-0201	Moviprep	
0065-0006	Moxeza	
55111-0112	Moxifloxacin	
13668-0201	Moxifloxacin Hydrochloride	
59011-0264	Ms Contin	
0485-0250	Mucaphed	
63824-0008	Mucinex	
63824-0057	Mucinex D	
63824-0056	Mucinex Dm	
0904-6133	Mucus Er	
63548-0007	Mucus Relief	
0904-6013	Mucus Relief Dm	
0024-4142	Multaq	
58980-0501	Multi Vitamin Drops With Fluoride	
13925-0169	Multi Vitamin Drops With Fluoride and Iron	
51862-0162	Multi Vitamin and Fluoride	
51862-0163	Multi Vitamin, Iron and Fluoride	
62011-0056	Multi-symptom Allergy	
0904-5786	Multi-symptom Mapap Cold Formula	
0603-1450	Multi-vit With Fluoride	
0603-1452	Multi-vit With Fluoride and Iron	
64376-0814	Multi-vitamin	
64376-0820	Multi-vitamin Fluoride Drops	
64376-0821	Multi-vitamin Fluoride and Iron Drops	
64376-0813	Multi-vitamin With Fluoride	
59088-0107	Multivitamin With Fluoride	
68462-0564	Mupirocin	
66993-0942	Mupirocin Calcium	
24208-0277	Muro 128	
45802-0174	Muscle Rub	
0037-8110	Muse	
44946-1020	Mvc-fluoride	
43386-0620	My Way	
0013-5301	Mycobutin	
0378-4472	Mycophenolate Mofetil	
51079-0509	Mycophenolic Acid	
0078-0385	Myfortic	
61748-0302	Myorisan	
0469-2601	Myrbetriq	
66490-0690	Mysoline	
0603-0210	Mytab For Gas	
0603-7625	Myzilra	
0093-1015	Nabumetone	
0378-0028	Nadolol	
0115-5311	Nadolol and Bendroflumethiazide	
0259-1102	Naftin	
0884-6600	Nalfon	
51224-0206	Naltrexone Hydrochloride	
0456-3205	Namenda	
17478-0216	Naphazoline	
0065-0085	Naphcon A	
59630-0850	Naprelan	
0004-6316	Naprosyn	
0093-1006	Naproxen	
68462-0189	Naproxen Sodium	
0378-4451	Naratriptan	
0574-0215	Naratriptan Hydrochloride	
0071-0350	Nardil	
11822-0065	Nasal	
0113-2432	Nasal Decongestant	
0536-1013	Nasal Relief	
49884-0270	Nascobal	
0085-1288	Nasonex	
58809-0578	Nasopen	
0065-0645	Natacyn	
50419-0409	Natazia	
68084-0459	Nateglinide	
52246-0929	Natroba	
0904-5018	Natural Balance Tears	
0904-5200	Natural Fiber Therapy Natural Laxative	
63868-0257	Natural Vegetable Laxative	
0536-6237	Natures Tears	
52544-0245	Necon	
52544-0552	Necon 0.5/35	
0093-1025	Nefazodone Hydrochloride	
48102-0006	Neo-polycin	
48102-0005	Neo-polycin Hc	
24208-0830	Neomycin Polymyxin B Sulfates and Dexamethasone	
0904-5941	Neomycin Sulfate	
24208-0780	Neomycin and Polymyxin B Sulfates and Bacitracin Zinc	
61314-0630	Neomycin and Polymyxin B Sulfates and Dexamethasone	
0574-4009	Neomycin and Polymyxin B Sulfates and Gramicidin	
61314-0641	Neomycin and Polymyxin B Sulfates and Hydrocortisone	
24208-0785	Neomycin and Polymyxin B Sulfates, Bacitracin Zinc and Hydrocortisone	
17478-0719	Neomycin and Polymyxin B Sulfates, Bacitracin Zinc, and Hydrocortisone	
17478-0235	Neomycin and Polymyxin B Sulfates, and Bacitracin Zinc	
0078-0274	Neoral	
59528-0317	Nephplex Rx	
0256-0185	Nephrocaps	
64764-0250	Nesina	
43538-0176	Neuac	
55513-0530	Neupogen	
0065-0002	Nevanac	
65162-0209	Nevirapine	
0245-0374	Nexa Plus	
0186-4020	Nexium	
52544-0065	Next Choice One Dose	
68180-0221	Niacin	
0245-0067	Niacor	
0074-3079	Niaspan	
42806-0502	Nicardipine Hydrochloride	
0904-5734	Nicorelief	
0135-0515	Nicorette	
0536-5896	Nicotine	
0113-2442	Nicotine Polacrilex	
0009-5401	Nicotrol	
47781-0370	Nifedipine	
68180-0886	Nikki	
57664-0135	Nimodipine	
0378-2222	Nisoldipine	
0168-0326	Nitro-bid	
0085-3320	Nitro-dur	
0904-0643	Nitro-time	
47781-0308	Nitrofurantion Macrocrystals	
57664-0239	Nitrofurantoin	
51079-0585	Nitrofurantoin (macrocrystals)	
0185-0122	Nitrofurantoin (monohydrate/macrocrystals)	
0093-2130	Nitrofurantoin Macrocrystals	
47781-0303	Nitrofurantoin Monohydrate/ Macrocrystalline	
68001-0001	Nitrofurantoin Monohydrate/macrocrystalline	
0378-3422	Nitrofurantoin Monohydrate/macrocrystals	
0517-4810	Nitroglycerin	
52536-0300	Nitroglycerin Lingual	
49730-0111	Nitroglycerin Transdermal System	
24338-0300	Nitrolingual Pumpspray	
24090-0410	Nitromist	
0071-0419	Nitrostat	
68462-0426	Nizatidine	
50458-0220	Nizoral	
68047-0186	Nohist Dm	
68047-0185	Nohist Lq	
62011-0066	Non-drowsy Day Time	
0536-3756	Non-habit Forming Stool Softener	
52544-0629	Nora Be	
52544-0913	Norco	
0169-7708	Norditropin	
52747-0475	Norel Ad	
0378-7272	Norethindrone	
68462-0304	Norethindrone Acetate	
0378-7283	Norethindrone Acetate and Ethinyl Estradiol	
68462-0565	Norgestimate and Ethinyl Estradiol	
0066-9850	Noritate	
51660-0127	Norlyroc	
51672-4002	Nortriptyline Hydrochloride	
0069-1520	Norvasc	
0074-6633	Norvir	
55566-1501	Novarel	
0085-1328	Noxafil	
50458-0817	Nucynta	
64597-0301	Nuedexta	
68220-0118	Nulev	
52268-0400	Nulytely With Flavor Packs	
0052-0273	Nuvaring	
63459-0225	Nuvigil	
0832-0465	Nyamyc	
0168-0054	Nystatin	
51672-1272	Nystatin and Triamcinolone Acetonide	
0574-2008	Nystop	
0555-9131	Ocella	
0093-7180	Ofloxacin	
60505-0363	Ofloxacin Otic	
52544-0848	Ogestrel 0.5/50	
59746-0308	Olanzapine	
0781-2194	Olanzapine and Fluoxetine	
43595-0080	Oleptro	
61314-0320	Olopatadine Hydrochloride	
59676-0225	Olysio	
65224-0707	Omeclamox-pak	
0093-5401	Omega-3-acid Ethyl Esters	
68382-0500	Omeprazole	
66993-0412	Omeprazole/sodium Bicarbonate	
63402-0701	Omnaris	
0409-4759	Ondansetron	
0527-1726	Ondansetron Hydrochloride	
67386-0314	Onfi	
0003-4214	Onglyza	
63481-0613	Opana	
62756-0718	Opcicon One-step	
0574-0159	Opium Tincture Deodorized	
0904-2992	Opticlear	
0299-3822	Oracea	
51672-1335	Oralone	
57844-0187	Orap	
0003-2188	Orencia	
68084-0787	Organ-i Nr	
62011-0036	Original Formula Motion Sickness Relief	
49348-0047	Original Texture Orange Flavor	
25021-0651	Orphenadrine Citrate	
0603-7634	Orsythia	
50458-0192	Ortho Evra	
68047-0255	Oscimin	
64764-0251	Oseni	
65649-0701	Osmoprep	
59572-0631	Otezla	
0430-0580	Ovcon 35	
51672-5293	Ovide	
44087-1150	Ovidrel	
0245-0271	Oxandrolone	
59762-6002	Oxaprozin	
0781-2811	Oxazepam	
59746-0234	Oxcarbazepine	
10337-0358	Oxistat	
17772-0121	Oxtellar Xr	
0378-6610	Oxybutynin Chloride	
68084-0354	Oxycodone Hydchloride	
49884-0137	Oxycodone Hydrochloride	
0378-6117	Oxycodone Hydrochloride and Aspirin	
0603-4998	Oxycodone and Acetaminophen	
0591-3551	Oxycodone and Aspirin	
59011-0460	Oxycontin	
45802-0410	Oxymetazoline Hcl	
68382-0418	Oxymetazoline Hydrochloride	
0115-1316	Oxymorphone Hydrochloride	
52544-0920	Oxytrol	
0245-0144	Pacerone	
11822-0008	Pain Relief	
63548-0065	Pain Relief Pm	
15127-0072	Pain Reliever	
0904-5135	Pain Reliever Plus	
15127-0325	Pain Reliever Pm	
0536-3222	Pain and Fever	
50458-0346	Pancreaze	
39822-0205	Pancrelipase	
0145-0985	Panoxyl	
55111-0333	Pantoprazole	
0378-6688	Pantoprazole Sodium	
50383-0855	Paregoric	
0093-7656	Paricalcitol	
23155-0038	Paromomycin Sulfate	
0093-7121	Paroxetine	
60505-3673	Paroxetine Hydrochloride	
0065-0272	Pataday	
0065-0332	Patanase	
0065-0271	Patanol	
60505-3664	Paxil	
0904-5050	Pedia Relief	
0132-0202	Pedia-lax	
54838-0115	Pediatric Cough and Cold Medicine	
0713-0102	Pediatric Glycerin	
0904-6025	Peg 3350	
10572-0100	Peg-3350 and Electrolytes	
10572-0400	Peg-3350, Sodium Chloride, Sodium Bicarbonate and Potassium Chloride	
46122-0199	Peg-phen Lubricant Eye Drops	
0781-1205	Penicillin V Potasium	
67253-0201	Penicillin V Potassium	
23635-0510	Pennsaid	
54092-0189	Pentasa	
43386-0680	Pentazocine Hydrochloride and Naloxone Hydrochloride	
0591-0395	Pentazocine and Naloxone	
0378-0357	Pentoxifylline	
15127-0550	Peptic Relief	
15127-0551	Peptic Relief Cherry	
37000-0403	Pepto-bismol	
37000-0016	Pepto-bismol To Go	
0067-6025	Perdiem	
49502-0605	Perforomist	
67618-0106	Peri-colace	
68180-0236	Perindopril Erbumine	
40085-0215	Permethrin	
0603-5093	Perphenazine	
0378-0330	Perphenazine and Amitriptyline Hydrochloride	
68968-2010	Pexeva	
16103-0348	Pharbedryl	
16103-0357	Pharbest Aspirin 325mg	
16103-0365	Pharbest Regular Strength Aspirin	
16103-0376	Pharbetol	
0574-7236	Phenadoz	
68084-0293	Phenazopyridine Hydrochloride	
46672-0138	Phendimetrazine Tartrate	
43386-0360	Phenelzine Sulfate	
63739-0200	Phenobarbital	
45802-0282	Phenol	
0527-1308	Phentermine Hydrochloride	
0378-3750	Phenytek	
51672-4146	Phenytoin	
51672-4111	Phenytoin Sodium	
16714-0347	Philith	
49230-0643	Phoslyra	
50222-0502	Picato	
0527-1407	Pilocarpine Hydrochloride	
16714-0404	Pimtrea	
57664-0656	Pindolol	
0121-4803	Pink Bismuth	
51079-0514	Pioglitazone	
13668-0280	Pioglitazone Hcl and Metformin Hcl	
68084-0615	Pioglitazone Hydrochloride	
0781-5634	Pioglitazone Hydrochloride and Glimepiride	
0378-1575	Pioglitazone Hydrochloride and Metformin Hydrochloride	
0781-5627	Pioglitazone and Metformin	
0093-5049	Pioglitazone and Metformin Hydrocholride	
13668-0120	Pioglitazonehydrochloride	
68180-0892	Pirmella 7/7/7	
29033-0012	Piroxicam	
51285-0942	Plan B One-step	
24987-0562	Plaquenil	
63653-1171	Plavix	
51645-0860	Pluspharma	
44946-1045	Pnv Prenatal Plus Multivitamin	
44946-1041	Pnv Prenatal Vitamin	
0574-0611	Podofilox	
50991-0216	Poly Hist Forte	
50991-0723	Poly-tussin Ac	
48102-0004	Polycin	
51079-0306	Polyethylene Glycol (3350)	
0574-0412	Polyethylene Glycol 3350	
0574-0428	Polyethylene Glycol 3350 and Electrolytes	
24208-0315	Polymyxin B Sulfate and Trimethoprim	
60758-0908	Polymyxin B Sulfate and Trimethoprim Sulfate	
0555-9020	Portia	
0245-0039	Potassium Bicarbonate	
0781-5720	Potassium Chloride	
68382-0537	Potassium Citrate	
0173-0812	Potiga	
0904-6414	Potrassium Chloride	
24385-0053	Povidone Iodine	
0603-0599	Povidone-iodine	
0597-0135	Pradaxa	
49908-0150	Pramcort	
64380-0746	Pramipexole Dihydrochloride	
51862-0180	Pramoxine Hydrochloride	
0169-0084	Prandin	
0003-5194	Pravachol	
54458-0927	Pravastatin Sodium	
0378-3205	Prazosin Hydrochloride	
11980-0180	Pred Forte	
11980-0174	Pred Mild	
66993-0880	Prednicarbate	
50383-0042	Prednisolone	
61314-0637	Prednisolone Acetate	
0603-9388	Prednisolone Sodium Phosphate	
0178-0582	Prednisolone Sodium Phosphate Oral Solution	
0603-5336	Prednisone	
0052-0315	Pregnyl	
0046-1100	Premarin	
13925-0509	Prenatal Plus	
64376-0816	Prenatal Vitamins Plus	
75854-0302	Prenate Dha	
75854-0301	Prenate Elite	
75854-0309	Prenate Enhance	
75854-0313	Prenate Essential	
75854-0304	Prenate Mini	
0573-2883	Preparation H	
0573-2868	Preparation H Cream Max Strength	
0573-2830	Preparation H Hydrocortisone	
0573-0556	Preparation H Medicated Wipes	
0573-0558	Preparation H Totables Irritation Relief Wipes	
76439-0258	Preplus	
55566-9700	Prepopik	
52544-0079	Preque 10	
64764-0541	Prevacid	
0245-0036	Prevalite	
0603-7642	Previfem	
64764-0702	Prevpac	
59676-0562	Prezista	
0186-0742	Prilosec	
37000-0459	Prilosec Otc	
0573-2952	Primatene	
0603-5372	Primidone	
13551-0501	Primsol	
0006-0106	Prinivil	
0378-0156	Probenecid	
0591-5325	Probenecid and Colchicine	
0069-2600	Procardia	
21724-0701	Procentra	
0781-5021	Prochlorperazine Maleate	
59676-0320	Procrit	
64980-0302	Procto-pak	
68220-0143	Proctofoam	
10631-0407	Proctosol-hc	
0591-3965	Progesterone	
0575-6200	Proglycem	
0469-0607	Prograf	
24208-0602	Prolensa	
0472-1627	Prometh With Codeine	
0603-1586	Promethazine Dm	
0603-5437	Promethazine Hydrochloride	
0121-0547	Promethazine Hydrochloride and Codeine Phosphate	
50383-0803	Promethazine Hydrochloride and Dextromethorphan Hydrobromide	
0603-1587	Promethazine Vc	
0603-1588	Promethazine Vc With Codeine	
0603-1585	Promethazine With Codeine	
60432-0606	Promethazine With Codeine Cough	
0713-0526	Promethegan	
0032-1708	Prometrium	
63739-0510	Propafenone Hcl	
51079-0996	Propafenone Hydrochloride	
0054-4721	Propantheline Bromide	
17478-0263	Proparacaine Hydrochloride	
0006-0071	Propecia	
0603-5484	Propranolol Hydrochloride	
0378-0347	Propranolol Hydrochloride and Hydrochlorothiazide	
0228-2348	Propylthiouracil	
0006-0072	Proscar	
0469-5201	Protopic	
50383-0959	Protriptyline Hydrochloride	
0085-1132	Proventil Hfa	
63459-0201	Provigil	
0064-3600	Prudoxin	
45802-0432	Pseudoephedrine Hydrochloride	
0186-1989	Pulmicort Respules	
50242-0100	Pulmozyme	
59088-0112	Purevit Dualfe Plus	
58914-0601	Pylera	
67253-0660	Pyrazinamide	
0115-3511	Pyridostigmine Bromide	
0603-0851	Q Tapp Cold and Allergy	
0603-0852	Q Tapp Cold and Cough	
0603-0855	Q Tussin Dm	
0603-0241	Q-dryl	
0603-0823	Qdryl Allergy	
59310-0210	Qnasl	
0603-0838	Qpap Infants Drops	
62541-0204	Qsymia	
0603-0857	Qtussin	
63868-0317	Quality Choice Calamine	
63868-0322	Quality Choice Castor Oil	
63868-0132	Quality Choice Cetirizine Hydrochloride	
63868-0951	Quality Choice Hemorrhoidal	
63868-0386	Quality Choice Multi-symptom, Non-drowsy Daytime Cold and Flu	
63868-0230	Quality Choice Povidone Iodine	
63868-0104	Quality Choice Tolnaftate Antifungal	
51285-0431	Quartette	
52544-0966	Quasense	
13668-0150	Quetiapine Fumarate	
65862-0617	Quinapril	
43386-0712	Quinapril Hcl and Hydrochlorothiazide	
59762-5019	Quinapril Hydrochloride	
0378-0543	Quinapril Hydrochloride and Hydrochlorothiazide	
0378-7180	Quinine Sulfate	
59310-0204	Qvar	
0904-6375	Rabeprazole Sodium	
66993-0417	Raloxifene Hydrochloride	
16729-0153	Ramipril	
61958-1001	Ranexa	
0603-9418	Ranitidine	
0904-5818	Ranitidine 75	
0781-1884	Ranitidine Hydrochloride	
0008-1042	Rapamune	
75987-0022	Rayos	
0536-7415	Ready-to-use	
0642-3010	Reaphirm Plant Source Dha	
52544-0954	Reclipsen	
58914-0301	Rectiv	
0023-4554	Refresh Celluvisc	
0023-0506	Refresh Classic	
0023-0312	Refresh Lacri-lube	
0023-9205	Refresh Liquigel	
0023-3416	Refresh Optive	
0023-4307	Refresh Optive Advanced	
0023-0240	Refresh P.m.	
0023-0403	Refresh Plus	
0023-0798	Refresh Tears	
0064-0810	Regranex	
63868-0712	Regular Strength Antacid	
0904-2013	Regular Strength Aspirin Ec	
0603-0263	Regular Strength Qpap	
0536-4444	Reguloid	
35573-0006	Relcof-c	
0173-0681	Relenza	
65649-0552	Relistor	
35573-0103	Relnate Dha	
53329-0151	Remedy Dimethicone Moisture Barrier	
53329-0161	Remedy Skin Repair	
0052-0109	Remeron	
57894-0030	Remicade	
58468-0020	Renagel	
63044-0622	Reno Caps	
0187-5150	Renova	
58468-0132	Renvela	
0378-3121	Repaglinide	
0007-4896	Requip	
64543-0105	Rescon Dm	
64543-0044	Rescon Gg	
0023-9163	Restasis	
0406-9917	Restoril	
0062-0204	Retin-a Micro	
0069-0338	Revatio	
0003-3622	Reyataz	
0186-1070	Rhinocort Aqua	
53808-0781	Ribavirin	
65483-0093	Ridaura	
59762-1350	Rifabutin	
63323-0351	Rifampin	
0378-4145	Riluzole	
10631-0206	Riomet	
0591-2102	Risedronate Sodium	
50458-0325	Risperdal	
50458-0309	Risperdal Consta	
64679-0553	Risperidone	
0078-0440	Ritalin	
33342-0092	Rivastigmine Tartrate	
33342-0087	Rizatriptan	
49884-0580	Rizatriptan Benzoate	
0904-0061	Robafen Cough Formula	
0031-8740	Robitussin Lingering Cold Long-acting Cough	
0031-8719	Robitussin Maximum Strength Cough Plus Chest Congestion Dm	
0031-8717	Robitussin Maximum Strength Nighttime Cough Dm	
0031-8724	Robitussin Mucus Plus Chest Congestion	
0031-8736	Robitussin Peak Cold Cough Plus Chest Congestion Dm	
0031-8721	Robitussin Peak Cold Daytime Cold Plus Flu	
0031-8738	Robitussin Peak Cold Maximum Strength Cough Plus Chest Congestion Dm	
0031-8734	Robitussin Peak Cold Maximum Strength Multi-symptom Cold	
0031-8742	Robitussin Peak Cold Multi-symptom Cold	
0031-8722	Robitussin Peak Cold Nighttime Cold Plus Flu	
0031-8735	Robitussin Peak Cold Nighttime Multi-symptom Cold	
0054-0122	Ropinirole	
0904-5996	Ropinirole Hydrochloride	
0054-8650	Roxicet	
23635-0582	Roxicodone	
64764-0805	Rozerem	
28595-0900	Ru-hist D	
0536-1048	Rugby	
0536-1008	Rugby Aspirin	
0536-1024	Rugby Calcium Carbonate 10 Gr	
0536-1002	Rugby Eye	
0536-1034	Rugby Heartburn Treatment	
0536-3405	Rugby Nicotine Polacrilex Gum, Coated Cinnamon Flavor	
0536-3386	Rugby Nicotine Polacrilex Gum, Coated Fruit Flavor	
0536-3113	Rugby Nicotine Polacrilex Gum, Coated Mint Flavor	
0536-1372	Rugby Nicotine Polacrilex Gum, Mint Flavor	
0536-3029	Rugby Nicotine Polacrilex Gum, Original Flavor	
0536-5700	Rugby Zinc Oxide	
0536-1945	Rulox Regular	
0173-0794	Rythmol	
50419-0403	Safyral	
58980-0631	Salacyn	
62856-0705	Salagen	
13925-0050	Salicylic Acid	
42546-0279	Salicylic Acid 6 Percent	
0363-0005	Saline Laxative	
64376-0507	Salsalate	
42747-0726	Sancuso	
0078-0110	Sandimmune	
0052-0119	Saphris	
0430-0210	Sarafem	
0145-0630	Sarna	
65597-0201	Savaysa	
0456-1512	Savella	
63824-0850	Scalpicin Maximum Strength	
13925-0116	Se-natal 19	
13925-0118	Se-tan Plus	
51285-0087	Seasonique	
0536-1962	Sebex	
15127-0138	Select Brand Maximum Strength Urinary Pain Relief	
15127-0129	Select Brand Mucus Relief	
15127-0052	Select Brand Povidone Iodine	
15127-0470	Select Brand Tab Tussin	
67253-0700	Selegiline Hydrochloride	
60432-0528	Selenium Sulfide	
49702-0223	Selzentry	
0536-1275	Senexon	
0536-4086	Senexon-s	
0904-6289	Senna	
24385-0505	Senna Plus	
16103-0363	Senna Tabs	
49483-0080	Senna Time	
0603-0282	Senna-lax	
0182-1113	Senna-s	
0904-5643	Senna/docusate Sodium	
0182-1093	Sennagen	
0603-0283	Sennalax-s	
63739-0432	Sennosides and Docusate Sodium	
67618-0300	Senokot	
67618-0310	Senokot-s	
43553-3256	Sensi Care Protective Barrier	
55513-0073	Sensipar	
63323-0461	Sensorcaine	
0310-0275	Seroquel	
54458-0913	Sertraline	
13668-0006	Sertraline Hydrochloride	
0115-1494	Sevelamer Carbonate	
0363-0603	Severe Cold and Flu	
60258-0151	Sf	
60258-0150	Sf 5000 Plus	
16714-0441	Sharobel	
54838-0107	Silace	
54838-0135	Siladryl Allergy Medicine	
16714-0338	Sildenafil	
13668-0185	Sildenafil Citrate	
42847-0103	Silenor	
54838-0209	Siltussin Dm	
54838-0133	Siltussin Dm Das Cough Formula	
54838-0117	Siltussin Sa	
61570-0131	Silvadene	
0591-0810	Silver Sulfadiazene	
67877-0124	Silver Sulfadiazine	
0065-4147	Simbrinza	
0074-3312	Simcor	
0536-3604	Simethicone	
57894-0070	Simponi	
68382-0069	Simvastatin	
0006-3915	Sinemet	
0006-1711	Singulair	
0904-5792	Sinus Congestion Pe	
15127-0933	Sinus Congestion and Pain	
49348-0985	Sinus and Allergy	
68382-0520	Sirolimus	
60793-0136	Skelaxin	
49281-0183	Sklice	
37205-0671	Sleep Aid	
0904-4274	Sleep Tabs	
0548-2052	Sodium Bicarbonate	
63323-0623	Sodium Chloride	
0904-5314	Sodium Chloride Hypertonicity	
0121-0595	Sodium Citrate and Citric Acid	
44946-1032	Sodium Fluoride	
10702-0036	Sodium Polystyrene Sulfonate	
44523-0613	Sodium Sulfacetamide	
45802-0978	Sodium Sulfacetamide and Sulfur	
10337-0803	Solaraze	
99207-0463	Solodyn	
0009-0912	Solu-cortef	
0009-0765	Solu-medrol	
0037-2250	Soma	
0135-0058	Sominex	
60793-0146	Sonata	
46122-0265	Sore Throat Cherry	
0145-3817	Soriatane	
0245-0014	Sorine	
67457-0176	Sotalol Hydrochloride	
61958-1501	Sovaldi	
44183-0900	Spinosad	
0597-0075	Spiriva	
0603-5765	Spironolactone	
51079-0104	Spironolactone and Hydrochlorothiazide	
50458-0290	Sporanox	
0555-9016	Sprintec	
0517-8880	Sprix	
0003-0528	Sprycel	
52544-0967	Sronyx	
43598-0210	Ssd Cream	
0245-0003	Sski	
58407-0624	Stahist Ad	
0078-0527	Stalevo	
60258-0159	Stannous Fluoride	
0078-0352	Starlix	
0378-5041	Stavudine	
0173-0822	Staxyn	
0904-7955	Stay Awake	
57894-0061	Stelara	
62541-0301	Stendra	
0069-2590	Sterile Vancomycin Hydrochloride	
0409-4887	Sterile Water	
0053-6871	Stimate	
49483-0003	Stimulant Laxative	
49348-0511	Stomach Relief	
49348-0121	Stool Softener	
0536-3755	Stool Softener Dc Laxative	
63868-0262	Stool Softener Plus Laxative	
63868-0131	Stool Softener Plus Stimulant Laxative	
62011-0188	Stool Softener With Laxative	
24385-0495	Stool Softener and Stimulant Laxative	
0002-3227	Strattera	
61958-1201	Stribild	
0597-0192	Striverdi Respimat	
0006-0032	Stromectol	
12496-1208	Suboxone	
20482-0008	Subsys	
51079-0753	Sucralfate	
0904-5053	Sudogest	
0904-5733	Sudogest Pe	
17478-0221	Sulfacetamide Sodium	
24208-0317	Sulfacetamide Sodium and Prednisolone Sodium Phosphate	
42546-0175	Sulfacleanse 8/4	
54569-0075	Sulfamethoxazole and Trimethoprim	
59762-0104	Sulfasalazine	
54879-0007	Sulfatrim	
51079-0667	Sulindac	
43538-0191	Sumadan Wash	
59762-1850	Sumatriptan	
63323-0273	Sumatriptan Succinate	
43376-0106	Sumavel Dosepro	
49348-0864	Sunmark	
49348-0686	Sunmark 12 Hour Allergy Relief	
49348-0128	Sunmark Acid Reducer	
49348-0847	Sunmark All Day Allergy	
49348-0851	Sunmark All Day Allergy D	
49348-0820	Sunmark All Day Relief	
49348-0778	Sunmark Allergy Multi Symptom	
49348-0375	Sunmark Allergy Relief	
49348-0019	Sunmark Antacid	
49348-0529	Sunmark Anti Diarrheal	
49348-0576	Sunmark Anti Nausea	
49348-0883	Sunmark Arthricream Rub	
49348-0924	Sunmark Arthritis 8 Hour	
49348-0921	Sunmark Arthritis Pain Reliever	
49348-0191	Sunmark Aspirin	
49348-0011	Sunmark Calamine	
49348-0055	Sunmark Calcium Antacid	
49348-0337	Sunmark Caldiphen	
49348-0610	Sunmark Caldyphen Clear	
49348-0016	Sunmark Castor Oil	
49348-0934	Sunmark Childrens All Day Allergy	
49348-0119	Sunmark Childrens Pain and Fever	
49348-0893	Sunmark Clearlax	
49348-0879	Sunmark Cold	
49348-0840	Sunmark Cold Head Congestion	
49348-0715	Sunmark Cold and Allergy	
49348-0163	Sunmark Eye Itch Relief	
49348-0968	Sunmark Fexofenadine Hydrochloride	
49348-0759	Sunmark Fiber Laxative	
49348-0090	Sunmark Fiber Smooth Texture	
49348-0509	Sunmark Gas Relief	
49348-0229	Sunmark Ibuprofen	
49348-0639	Sunmark Ibuprofen Ib	
49348-0873	Sunmark Ibuprofen Pm	
49348-0081	Sunmark Infants Pain and Fever	
49348-0711	Sunmark Iodides Tincture	
49348-0301	Sunmark Lansoprazole	
49348-0999	Sunmark Loperamide Hydrochloride	
49348-0818	Sunmark Loratadine	
49348-0183	Sunmark Loratadine D	
49348-0929	Sunmark Loratadine Odt	
49348-0645	Sunmark Miconazole 3	
49348-0872	Sunmark Miconazole 7	
49348-0506	Sunmark Migraine Relief	
49348-0905	Sunmark Mucus Er	
49348-0940	Sunmark Naproxen Sodium	
49348-0230	Sunmark Nasal	
49348-0024	Sunmark Nasal Decongestant	
49348-0573	Sunmark Nicotine	
49348-0471	Sunmark Night Time Sleep Aid	
49348-0061	Sunmark Nite Time	
49348-0472	Sunmark No Drip	
49348-0197	Sunmark Nose	
49348-0846	Sunmark Omeprazole	
49348-0888	Sunmark Pain Reliever	
49348-0622	Sunmark Povidone-iodine Topical	
49348-0574	Sunmark Sleep Aid	
49348-0771	Sunmark Stay Awake	
49348-0192	Sunmark Stomach Relief	
49348-0508	Sunmark Tioconazole 1	
49348-0135	Sunmark Tussin	
49348-0737	Sunmark Tussin Cf	
49348-0941	Sunmark Urinary Pain Relief Maximum Strength	
27437-0208	Suprax	
52268-0012	Suprep Bowel Prep	
0056-0510	Sustiva	
0069-0770	Sutent	
0168-0126	Swim-ear	
0781-5658	Syeda	
0186-0372	Symbicort	
66780-0110	Symlinpen	
55154-0911	Synthroid	
0065-0431	Systane	
0065-0429	Systane Lubricant	
0065-0509	Systane Nighttime	
